ap1,ap2,ap3,ap4,ap5
988.2,988.7,1001.4,1007.7,1000.5
988.1,988.7,1001.3,1007.7,1000.5
988.2,988.6,1001.3,1007.6,1000.6
988.1,988.6,1001.4,1007.5,1000.5
988.1,988.6,1001.4,1007.4,1000.4
988.0,988.6,1001.3,1007.4,1000.4
987.9,988.5,1001.2,1007.3,1000.2
987.9,988.4,1001.1,1007.2,1000.1
987.8,988.4,1001.0,1007.1,1000.0
987.7,988.3,1000.9,1007.2,1000.0
987.7,988.3,1000.8,1007.1,1000.1
987.6,988.3,1000.8,1007.0,1000.0
987.6,988.2,1000.7,1007.0,1000.0
987.4,988.0,1000.7,1006.9,999.9
987.3,988.0,1000.6,1006.8,999.8
987.2,988.0,1000.6,1006.7,999.8
987.3,987.9,1000.5,1006.7,999.8
987.1,987.8,1000.5,1006.5,999.6
987.0,987.7,1000.4,1006.4,999.5
986.8,987.7,1000.2,1006.4,999.4
986.8,987.6,1000.0,1006.3,999.3
986.8,987.5,999.9,1006.3,999.2
986.6,987.3,999.9,1006.1,999.1
986.4,987.3,999.8,1005.9,999.0
986.4,987.2,999.7,1005.9,999.0
986.3,987.1,999.6,1005.8,998.9
986.2,987.0,999.4,1005.8,998.8
986.1,986.9,999.3,1005.7,998.7
986.1,986.9,999.2,1005.7,998.6
985.9,986.8,999.1,1005.6,998.5
985.8,986.9,999.0,1005.6,998.4
985.8,986.9,998.9,1005.7,998.4
985.9,986.9,998.9,1005.6,998.4
985.8,986.9,998.8,1005.6,998.4
985.8,986.8,998.8,1005.6,998.2
985.8,986.7,998.8,1005.5,998.1
985.7,986.6,998.7,1005.5,998.0
985.6,986.6,998.6,1005.5,998.0
985.5,986.5,998.5,1005.4,998.0
985.3,986.4,998.5,1005.4,997.9
985.2,986.4,998.4,1005.3,998.1
985.2,986.3,998.3,1005.2,997.9
985.1,986.4,998.3,1005.1,997.8
985.1,986.3,998.2,1005.0,997.7
985.1,986.2,998.3,1005.0,997.6
985.0,986.1,998.2,1005.0,997.6
984.9,986.0,998.2,1005.0,997.5
984.8,986.0,998.2,1004.9,997.5
984.8,985.9,998.0,1004.9,997.5
984.8,985.9,998.0,1004.9,997.5
984.7,985.9,997.9,1004.9,997.4
984.8,985.9,997.9,1004.8,997.4
984.6,986.0,997.9,1004.9,997.5
984.6,986.0,997.9,1004.8,997.5
984.9,985.9,997.9,1004.8,997.5
984.8,986.0,997.8,1004.8,997.5
984.6,986.0,997.9,1004.6,997.3
984.5,985.9,997.8,1004.7,997.3
984.5,986.0,997.7,1004.7,997.3
984.6,985.9,997.7,1004.6,997.2
984.7,985.8,997.8,1004.6,997.2
984.7,985.8,997.8,1004.5,997.2
984.7,985.8,997.9,1004.5,997.3
984.8,985.9,997.9,1004.3,997.3
984.8,985.8,997.9,1004.3,997.2
984.7,985.8,998.0,1004.4,997.2
984.7,985.8,998.1,1004.4,997.3
984.9,985.9,998.2,1004.4,997.5
985.0,986.0,998.2,1004.4,997.6
985.0,986.1,998.2,1004.5,997.7
985.2,986.2,998.4,1004.6,997.8
985.3,986.2,998.5,1004.7,997.8
985.4,986.3,998.5,1004.9,997.9
985.5,986.4,998.5,1004.9,998.0
985.6,986.4,998.6,1005.0,998.1
985.7,986.5,998.6,1005.1,998.2
985.6,986.5,998.7,1005.0,998.2
985.6,986.6,998.7,1005.1,998.3
985.7,986.6,998.8,1005.1,998.3
985.7,986.7,998.9,1005.3,998.3
985.8,986.7,999.0,1005.4,998.5
986.0,986.8,999.1,1005.6,998.5
986.0,986.9,999.3,1005.7,998.6
986.2,987.0,999.4,1005.9,998.6
986.3,986.9,999.4,1005.9,998.7
986.4,987.0,999.7,1006.1,998.9
986.5,987.1,999.7,1006.1,999.1
986.5,987.2,999.7,1006.2,999.2
986.6,987.3,999.7,1006.2,999.2
986.7,987.4,999.7,1006.1,999.2
986.7,987.4,999.8,1006.1,999.2
986.7,987.5,999.8,1006.1,999.2
986.7,987.5,999.9,1006.1,999.2
986.7,987.5,1000.1,1006.1,999.1
986.9,987.5,1000.1,1006.0,999.1
986.8,987.4,1000.1,1006.1,999.1
986.8,987.4,1000.2,1006.0,999.2
987.0,987.4,1000.3,1006.0,999.1
986.9,987.4,1000.2,1006.0,999.1
986.9,987.5,1000.2,1006.0,999.1
986.9,987.4,1000.1,1006.1,999.1
986.8,987.3,1000.1,1006.2,999.2
986.8,987.2,1000.1,1006.3,999.2
986.7,987.1,1000.2,1006.1,999.1
986.7,987.0,1000.0,1006.1,999.1
986.7,987.1,1000.1,1006.1,999.1
986.8,987.2,1000.2,1006.2,999.1
986.9,987.4,1000.2,1006.2,999.3
987.0,987.4,1000.2,1006.2,999.3
987.0,987.4,1000.1,1006.1,999.2
986.9,987.5,1000.1,1006.1,999.2
986.9,987.6,1000.0,1006.2,999.2
986.9,987.6,1000.0,1006.2,999.2
986.8,987.5,1000.0,1006.1,999.1
986.8,987.4,1000.0,1006.2,999.2
986.8,987.4,1000.0,1006.1,999.1
986.8,987.5,1000.0,1006.1,999.0
986.9,987.5,1000.0,1006.1,999.0
987.0,987.6,1000.1,1006.1,999.1
987.1,987.6,1000.1,1006.1,999.2
987.1,987.6,1000.0,1006.2,999.1
987.0,987.6,1000.0,1006.2,999.2
987.0,987.6,1000.1,1006.2,999.2
987.0,987.6,1000.2,1006.2,999.1
987.0,987.6,1000.1,1006.2,999.0
987.0,987.5,1000.1,1006.2,999.0
987.0,987.5,1000.0,1006.2,999.0
987.0,987.5,1000.0,1006.1,999.0
987.0,987.5,1000.0,1006.2,999.0
987.2,987.6,1000.2,1006.3,999.1
987.1,987.6,1000.3,1006.4,999.2
987.2,987.6,1000.4,1006.3,999.2
987.2,987.7,1000.4,1006.3,999.1
987.3,987.8,1000.4,1006.3,999.1
987.3,987.7,1000.4,1006.3,999.1
987.3,987.6,1000.4,1006.4,999.2
987.3,987.6,1000.5,1006.3,999.2
987.4,987.7,1000.5,1006.4,999.3
987.5,987.8,1000.5,1006.6,999.4
987.4,987.9,1000.6,1006.6,999.4
987.6,988.0,1000.6,1006.6,999.5
987.7,988.0,1000.7,1006.7,999.6
987.6,988.0,1000.7,1006.7,999.7
987.7,988.0,1000.6,1006.7,999.6
987.7,988.0,1000.6,1006.8,999.6
987.7,987.9,1000.7,1006.7,999.6
987.6,988.0,1000.7,1006.7,999.6
987.7,988.1,1000.6,1006.8,999.6
987.6,988.0,1000.6,1006.8,999.6
987.6,988.0,1000.6,1006.8,999.6
987.5,988.0,1000.6,1006.7,999.7
987.4,988.0,1000.5,1006.7,999.6
987.4,987.9,1000.5,1006.6,999.5
987.4,987.8,1000.5,1006.5,999.5
987.3,987.7,1000.4,1006.6,999.4
987.2,987.6,1000.4,1006.6,999.4
987.3,987.7,1000.3,1006.4,999.4
987.3,987.6,1000.3,1006.3,999.4
987.2,987.5,1000.3,1006.3,999.3
987.1,987.4,1000.2,1006.3,999.3
987.1,987.3,1000.2,1006.4,999.4
987.1,987.3,1000.2,1006.4,999.4
987.0,987.3,1000.2,1006.4,999.4
986.9,987.3,1000.0,1006.3,999.4
986.9,987.3,1000.0,1006.2,999.3
986.9,987.3,1000.0,1006.2,999.3
986.8,987.3,999.8,1006.2,999.3
986.7,987.3,999.8,1006.0,999.3
986.7,987.3,999.8,1005.9,999.2
986.7,987.3,999.7,1005.9,999.1
986.5,987.3,999.6,1005.9,999.0
986.6,987.3,999.6,1005.8,998.9
986.5,987.2,999.6,1005.8,998.8
986.3,987.1,999.5,1005.7,998.7
986.3,987.0,999.3,1005.6,998.6
986.2,986.9,999.3,1005.6,998.6
986.2,986.8,999.2,1005.5,998.6
986.1,986.7,999.2,1005.5,998.5
986.0,986.7,999.2,1005.4,998.4
986.0,986.6,999.0,1005.4,998.4
986.0,986.6,998.9,1005.3,998.3
986.0,986.5,998.9,1005.2,998.2
985.8,986.4,998.8,1005.2,998.0
985.8,986.4,998.7,1005.1,998.0
985.8,986.4,998.6,1005.1,998.0
985.7,986.3,998.4,1004.9,997.9
985.6,986.3,998.4,1004.7,997.9
985.5,986.2,998.3,1004.7,997.8
985.4,986.1,998.2,1004.5,997.6
985.2,985.9,998.1,1004.4,997.6
985.1,985.7,998.0,1004.3,997.5
985.2,985.7,997.9,1004.2,997.4
985.1,985.6,997.9,1004.2,997.3
985.0,985.6,997.8,1004.1,997.3
985.0,985.5,997.7,1004.1,997.2
985.0,985.5,997.7,1004.0,997.2
985.0,985.4,997.8,1004.0,997.2
985.0,985.4,997.8,1004.0,997.1
985.0,985.3,997.8,1003.9,997.1
985.0,985.3,997.8,1004.0,997.1
985.0,985.4,997.9,1004.1,997.1
985.1,985.4,998.0,1004.1,997.3
985.2,985.5,997.9,1004.2,997.3
985.1,985.4,998.0,1004.3,997.3
985.1,985.5,998.0,1004.2,997.3
985.1,985.5,997.9,1004.2,997.3
985.2,985.6,998.0,1004.3,997.3
985.2,985.6,998.0,1004.3,997.3
985.2,985.6,998.1,1004.4,997.3
985.3,985.7,998.2,1004.5,997.4
985.3,985.7,998.2,1004.6,997.5
985.4,985.8,998.3,1004.6,997.6
985.5,986.0,998.5,1004.6,997.7
985.6,986.2,998.5,1004.7,997.8
985.7,986.3,998.5,1004.8,998.0
985.8,986.4,998.6,1004.9,998.1
985.8,986.5,998.7,1004.9,998.1
985.9,986.6,998.8,1004.9,998.1
986.0,986.6,998.9,1005.1,998.1
986.2,986.6,999.0,1005.1,998.2
986.2,986.7,999.1,1005.2,998.3
986.4,986.9,999.1,1005.3,998.4
986.5,987.1,999.1,1005.4,998.6
986.6,987.2,999.2,1005.4,998.7
986.7,987.2,999.4,1005.5,998.8
986.8,987.4,999.5,1005.6,998.8
986.9,987.4,999.6,1005.8,998.9
986.9,987.4,999.7,1005.8,998.9
987.0,987.4,999.7,1005.9,999.0
987.1,987.5,999.7,1005.9,999.1
987.1,987.6,999.8,1006.0,999.1
987.2,987.6,999.9,1006.1,999.2
987.1,987.6,999.9,1006.1,999.1
987.2,987.6,999.9,1006.1,999.2
987.1,987.7,1000.0,1006.2,999.1
987.2,987.7,1000.1,1006.3,999.1
987.3,987.8,1000.3,1006.3,999.2
987.2,987.8,1000.3,1006.4,999.3
987.2,987.7,1000.4,1006.5,999.3
987.3,987.8,1000.5,1006.6,999.3
987.5,987.8,1000.6,1006.6,999.4
987.5,987.9,1000.6,1006.6,999.6
987.5,988.0,1000.6,1006.6,999.7
987.7,988.2,1000.6,1006.6,999.7
987.8,988.2,1000.6,1006.6,999.7
987.8,988.4,1000.5,1006.7,999.7
987.8,988.4,1000.7,1006.8,999.7
987.8,988.4,1000.8,1006.7,999.7
987.9,988.4,1000.7,1006.7,999.7
987.9,988.4,1000.7,1006.6,999.9
987.8,988.4,1000.8,1006.7,999.9
987.9,988.5,1000.9,1006.8,999.8
987.9,988.5,1000.9,1006.8,999.9
988.0,988.5,1000.8,1006.8,999.8
988.1,988.6,1000.7,1006.8,999.9
988.0,988.6,1000.9,1006.9,999.9
988.1,988.5,1001.1,1007.0,1000.0
988.3,988.5,1001.1,1006.9,1000.1
988.2,988.6,1001.2,1007.0,1000.0
988.2,988.7,1001.3,1007.1,1000.1
988.3,988.7,1001.3,1007.1,1000.2
988.4,988.7,1001.3,1007.2,1000.2
988.5,988.7,1001.3,1007.2,1000.2
988.4,988.8,1001.3,1007.2,1000.2
988.4,988.8,1001.3,1007.3,1000.2
988.4,988.8,1001.2,1007.3,1000.2
988.4,988.8,1001.2,1007.3,1000.1
988.4,988.8,1001.1,1007.4,1000.2
988.4,989.0,1001.3,1007.5,1000.4
988.5,989.1,1001.5,1007.6,1000.5
988.7,989.1,1001.6,1007.6,1000.6
988.8,989.2,1001.7,1007.7,1000.8
988.9,989.1,1001.6,1007.7,1000.8
988.9,989.3,1001.6,1007.7,1000.7
989.0,989.4,1001.6,1007.5,1000.7
989.0,989.4,1001.6,1007.6,1000.8
989.1,989.6,1001.7,1007.8,1000.8
989.0,989.5,1001.9,1007.9,1000.8
989.1,989.5,1002.0,1007.8,1001.0
989.1,989.4,1002.0,1007.8,1001.0
989.2,989.5,1002.1,1007.9,1000.9
989.2,989.5,1002.1,1007.9,1001.0
989.2,989.6,1002.1,1008.0,1000.9
989.3,989.5,1002.2,1007.9,1000.9
989.2,989.6,1002.2,1007.8,1001.0
989.2,989.6,1002.3,1007.9,1001.1
989.3,989.5,1002.4,1008.1,1001.0
989.4,989.4,1002.4,1008.2,1001.1
989.5,989.5,1002.7,1008.3,1001.3
989.4,989.6,1002.9,1008.4,1001.4
989.5,989.6,1003.0,1008.4,1001.6
989.8,989.8,1003.0,1008.4,1001.8
989.9,989.9,1003.1,1008.4,1001.8
989.9,990.0,1003.1,1008.3,1001.8
990.0,990.0,1002.9,1008.4,1001.9
989.9,990.0,1002.9,1008.3,1001.7
989.7,989.8,1002.9,1008.5,1001.7
989.6,989.7,1002.9,1008.5,1001.7
989.5,989.6,1002.9,1008.4,1001.8
989.5,989.6,1002.8,1008.5,1001.9
989.5,989.8,1002.8,1008.4,1001.9
989.4,989.9,1002.7,1008.3,1001.7
989.4,989.8,1002.7,1008.4,1001.6
989.4,989.7,1002.5,1008.4,1001.7
989.3,989.6,1002.6,1008.4,1001.6
989.2,989.6,1002.5,1008.3,1001.6
989.2,989.6,1002.7,1008.4,1001.6
989.3,989.6,1002.7,1008.4,1001.7
989.3,989.5,1002.6,1008.4,1001.6
989.2,989.5,1002.6,1008.3,1001.6
989.3,989.6,1002.4,1008.3,1001.5
989.3,989.6,1002.4,1008.4,1001.6
989.2,989.6,1002.4,1008.5,1001.6
989.2,989.6,1002.4,1008.5,1001.6
989.1,989.7,1002.3,1008.5,1001.5
989.1,989.7,1002.2,1008.4,1001.5
989.0,989.6,1002.2,1008.4,1001.5
989.0,989.6,1002.2,1008.3,1001.4
988.9,989.6,1002.3,1008.2,1001.3
988.9,989.6,1002.2,1008.1,1001.2
989.0,989.5,1002.2,1008.0,1001.2
989.0,989.4,1002.1,1008.0,1001.2
988.8,989.4,1002.1,1007.9,1001.2
988.9,989.3,1002.0,1007.8,1001.0
988.8,989.2,1002.0,1007.7,1001.0
988.7,989.2,1001.8,1007.6,1000.9
988.7,989.2,1001.6,1007.5,1000.8
988.5,989.2,1001.5,1007.5,1000.7
988.4,989.0,1001.5,1007.4,1000.6
988.3,988.9,1001.4,1007.4,1000.6
988.2,988.9,1001.3,1007.3,1000.5
988.3,988.8,1001.2,1007.3,1000.5
988.2,988.8,1001.1,1007.3,1000.5
988.2,988.8,1001.1,1007.2,1000.5
988.2,988.8,1001.0,1007.2,1000.4
988.2,988.8,1000.9,1007.1,1000.3
988.1,988.7,1000.8,1007.0,1000.2
988.0,988.7,1000.8,1007.0,1000.2
987.9,988.6,1000.7,1006.9,1000.1
987.9,988.6,1000.7,1006.8,1000.0
987.9,988.5,1000.7,1006.7,1000.0
987.9,988.4,1000.7,1006.7,1000.0
987.9,988.5,1000.7,1006.7,1000.0
987.9,988.5,1000.6,1006.7,1000.0
987.9,988.5,1000.7,1006.7,999.9
987.8,988.4,1000.6,1006.7,999.9
987.7,988.4,1000.7,1006.7,999.9
987.8,988.3,1000.6,1006.7,999.9
987.7,988.3,1000.6,1006.7,999.9
987.7,988.4,1000.7,1006.7,1000.0
987.8,988.5,1000.7,1006.8,1000.1
987.8,988.6,1000.8,1006.8,1000.1
987.8,988.7,1000.9,1006.9,1000.2
987.9,988.7,1000.9,1007.0,1000.3
988.0,988.8,1000.9,1007.0,1000.2
988.0,988.9,1001.0,1007.0,1000.3
988.1,988.8,1001.1,1007.1,1000.3
988.2,988.9,1001.1,1007.1,1000.4
988.3,989.0,1001.0,1007.1,1000.4
988.3,989.1,1001.1,1007.3,1000.5
988.4,989.2,1001.3,1007.4,1000.5
988.5,989.3,1001.4,1007.4,1000.7
988.7,989.2,1001.5,1007.5,1000.8
988.8,989.4,1001.6,1007.6,1000.9
988.9,989.5,1001.7,1007.6,1001.0
989.1,989.7,1001.8,1007.8,1001.1
989.2,989.8,1002.0,1007.8,1001.2
989.3,989.8,1002.1,1007.9,1001.3
989.4,990.0,1002.2,1008.1,1001.4
989.6,990.1,1002.4,1008.4,1001.5
989.7,990.2,1002.4,1008.6,1001.6
989.8,990.4,1002.4,1008.7,1001.7
989.8,990.4,1002.5,1008.9,1001.7
989.9,990.4,1002.7,1008.9,1001.8
989.9,990.6,1002.7,1009.0,1001.9
990.0,990.6,1002.9,1009.0,1001.9
990.1,990.7,1003.0,1009.0,1002.0
990.2,990.8,1003.0,1009.1,1002.0
990.3,990.8,1003.2,1009.1,1002.2
990.3,990.8,1003.2,1009.1,1002.4
990.4,991.0,1003.3,1009.1,1002.4
990.6,991.0,1003.4,1009.2,1002.5
990.6,991.1,1003.5,1009.3,1002.5
990.6,991.1,1003.4,1009.3,1002.5
990.6,991.0,1003.4,1009.4,1002.6
990.7,991.0,1003.5,1009.4,1002.5
990.6,991.1,1003.4,1009.5,1002.6
990.6,991.0,1003.4,1009.6,1002.7
990.6,991.1,1003.5,1009.5,1002.6
990.6,991.1,1003.5,1009.5,1002.6
990.6,991.2,1003.5,1009.5,1002.5
990.6,991.2,1003.5,1009.5,1002.6
990.6,991.2,1003.5,1009.5,1002.6
990.7,991.2,1003.5,1009.5,1002.7
990.7,991.3,1003.6,1009.6,1002.6
990.7,991.3,1003.6,1009.4,1002.6
990.9,991.3,1003.6,1009.5,1002.7
990.9,991.3,1003.7,1009.5,1002.7
991.0,991.3,1003.8,1009.5,1002.7
991.1,991.4,1003.9,1009.4,1002.8
991.2,991.4,1004.0,1009.3,1002.8
991.2,991.5,1004.0,1009.4,1002.8
991.3,991.4,1004.0,1009.4,1002.9
991.3,991.5,1004.1,1009.4,1003.0
991.4,991.5,1004.1,1009.5,1003.0
991.3,991.6,1004.0,1009.6,1003.0
991.2,991.6,1003.9,1009.8,1003.0
991.2,991.7,1003.9,1009.9,1003.1
991.2,991.7,1003.9,1009.9,1003.1
991.2,991.7,1003.9,1010.0,1003.1
991.2,991.6,1003.9,1010.0,1003.1
991.2,991.7,1004.0,1009.9,1003.2
991.2,991.7,1004.0,1009.9,1003.2
991.3,991.8,1004.1,1009.8,1003.2
991.3,991.8,1004.1,1009.9,1003.3
991.4,991.8,1004.2,1009.8,1003.2
991.5,991.9,1004.3,1009.9,1003.2
991.6,991.9,1004.4,1009.8,1003.3
991.7,992.0,1004.5,1009.9,1003.4
991.8,992.0,1004.5,1009.8,1003.4
991.9,992.2,1004.5,1010.0,1003.5
991.9,992.3,1004.6,1010.0,1003.6
992.0,992.3,1004.6,1010.1,1003.5
992.1,992.4,1004.7,1010.2,1003.6
992.2,992.4,1004.9,1010.3,1003.7
992.3,992.5,1004.9,1010.3,1003.9
992.3,992.5,1004.9,1010.4,1003.9
992.4,992.5,1004.8,1010.5,1004.0
992.3,992.6,1004.8,1010.5,1004.1
992.3,992.7,1004.9,1010.6,1004.1
992.5,992.7,1005.1,1010.6,1004.1
992.5,992.8,1005.1,1010.7,1004.1
992.6,992.8,1005.3,1010.8,1004.2
992.7,992.8,1005.4,1010.7,1004.3
992.7,992.8,1005.5,1010.7,1004.3
992.9,992.8,1005.5,1010.8,1004.4
992.9,992.9,1005.5,1010.7,1004.5
992.8,992.9,1005.5,1010.8,1004.6
992.7,992.8,1005.4,1010.8,1004.5
992.7,992.8,1005.4,1010.8,1004.4
992.7,992.8,1005.4,1010.8,1004.3
992.7,992.7,1005.3,1010.8,1004.3
992.6,992.7,1005.3,1010.8,1004.3
992.6,992.6,1005.3,1010.8,1004.4
992.5,992.6,1005.3,1010.8,1004.3
992.6,992.6,1005.3,1010.9,1004.3
992.5,992.6,1005.2,1010.9,1004.3
992.4,992.5,1005.1,1010.8,1004.3
992.4,992.4,1005.1,1010.8,1004.1
992.4,992.3,1005.2,1010.8,1004.1
992.3,992.3,1005.1,1010.7,1004.1
992.3,992.3,1005.0,1010.7,1004.1
992.3,992.2,1005.1,1010.8,1004.1
992.2,992.2,1005.0,1010.8,1004.1
992.1,992.2,1004.9,1010.8,1004.1
992.0,992.0,1004.9,1010.7,1004.0
991.9,992.0,1004.8,1010.6,1003.9
991.7,991.9,1004.6,1010.5,1003.8
991.7,991.8,1004.5,1010.4,1003.6
991.5,991.6,1004.4,1010.4,1003.5
991.5,991.6,1004.3,1010.3,1003.3
991.4,991.5,1004.2,1010.2,1003.3
991.4,991.3,1004.2,1010.2,1003.3
991.3,991.4,1004.1,1010.1,1003.2
991.2,991.3,1004.0,1010.0,1003.2
991.1,991.2,1003.9,1009.8,1003.0
990.9,991.1,1003.8,1009.7,1003.0
990.8,991.1,1003.7,1009.6,1003.0
990.8,991.1,1003.6,1009.6,1002.9
990.7,991.1,1003.6,1009.5,1002.8
990.6,991.1,1003.6,1009.4,1002.7
990.4,990.9,1003.5,1009.4,1002.6
990.4,990.8,1003.4,1009.4,1002.5
990.4,990.7,1003.3,1009.3,1002.4
990.3,990.6,1003.3,1009.2,1002.3
990.1,990.5,1003.1,1009.0,1002.2
990.1,990.4,1003.1,1009.0,1002.2
990.0,990.3,1002.9,1008.9,1002.1
990.0,990.3,1002.9,1008.9,1002.1
989.9,990.2,1002.8,1009.0,1001.9
989.9,990.3,1002.7,1008.9,1001.9
989.8,990.3,1002.6,1008.9,1001.9
989.8,990.2,1002.6,1008.8,1001.9
989.8,990.2,1002.7,1008.8,1001.8
989.7,990.2,1002.6,1008.9,1001.7
989.7,990.2,1002.7,1008.9,1001.7
989.7,990.2,1002.7,1008.8,1001.7
989.8,990.2,1002.7,1008.8,1001.7
989.8,990.2,1002.6,1008.7,1001.8
989.7,990.2,1002.5,1008.8,1001.8
989.7,990.1,1002.5,1008.8,1001.7
989.7,990.1,1002.5,1008.8,1001.7
989.7,990.2,1002.5,1008.9,1001.7
989.7,990.3,1002.6,1009.2,1001.9
989.8,990.3,1002.7,1009.2,1002.0
989.8,990.4,1002.7,1009.3,1002.0
989.9,990.5,1002.9,1009.3,1002.2
990.0,990.7,1003.1,1009.5,1002.3
990.2,990.8,1003.2,1009.6,1002.4
990.3,991.0,1003.3,1009.7,1002.5
990.4,991.1,1003.4,1009.8,1002.6
990.6,991.2,1003.5,1009.8,1002.7
990.7,991.3,1003.6,1010.0,1002.9
990.9,991.5,1003.7,1010.3,1003.1
991.0,991.6,1003.8,1010.4,1003.2
991.1,991.7,1004.0,1010.5,1003.3
991.1,991.8,1004.1,1010.5,1003.3
991.2,991.8,1004.2,1010.6,1003.4
991.3,991.9,1004.3,1010.8,1003.5
991.4,992.1,1004.4,1010.8,1003.7
991.6,992.2,1004.5,1010.9,1003.8
991.7,992.3,1004.7,1011.2,1004.0
991.7,992.4,1004.9,1011.4,1004.2
991.8,992.5,1005.0,1011.5,1004.3
992.1,992.7,1005.1,1011.7,1004.5
992.2,992.7,1005.3,1011.7,1004.6
992.3,992.8,1005.3,1011.9,1004.7
992.5,993.1,1005.4,1012.0,1004.8
992.6,993.2,1005.5,1012.0,1004.9
992.6,993.2,1005.6,1012.1,1005.0
992.6,993.3,1005.8,1012.2,1005.0
992.6,993.3,1005.8,1012.2,1005.1
992.7,993.4,1005.9,1012.3,1005.2
992.7,993.4,1005.9,1012.3,1005.2
992.8,993.4,1005.9,1012.2,1005.3
992.9,993.4,1006.0,1012.3,1005.3
992.9,993.4,1006.0,1012.3,1005.3
992.9,993.4,1006.0,1012.3,1005.3
992.9,993.5,1006.0,1012.3,1005.3
992.9,993.6,1006.0,1012.4,1005.3
992.9,993.6,1006.0,1012.4,1005.3
992.9,993.5,1006.0,1012.3,1005.3
992.9,993.6,1006.0,1012.3,1005.3
993.0,993.6,1006.1,1012.4,1005.4
993.0,993.6,1006.2,1012.4,1005.4
993.0,993.7,1006.3,1012.3,1005.4
993.0,993.6,1006.3,1012.4,1005.3
993.1,993.7,1006.3,1012.4,1005.4
993.2,993.7,1006.3,1012.4,1005.4
993.2,993.7,1006.3,1012.4,1005.4
993.2,993.7,1006.4,1012.4,1005.5
993.2,993.8,1006.5,1012.4,1005.5
993.3,993.8,1006.5,1012.4,1005.5
993.4,993.8,1006.5,1012.4,1005.4
993.4,993.9,1006.5,1012.5,1005.5
993.4,993.9,1006.5,1012.6,1005.6
993.4,994.0,1006.5,1012.5,1005.6
993.4,994.0,1006.5,1012.5,1005.6
993.6,994.0,1006.7,1012.6,1005.7
993.6,994.0,1006.7,1012.7,1005.7
993.6,994.0,1006.7,1012.6,1005.7
993.6,994.1,1006.8,1012.6,1005.7
993.7,994.1,1006.9,1012.7,1005.7
993.8,994.2,1007.0,1012.8,1005.8
993.9,994.3,1007.0,1012.9,1005.9
993.9,994.4,1007.1,1013.0,1006.0
994.0,994.5,1007.2,1013.1,1006.1
994.2,994.6,1007.3,1013.1,1006.2
994.3,994.7,1007.4,1013.2,1006.4
994.5,994.9,1007.6,1013.3,1006.5
994.6,995.0,1007.7,1013.4,1006.6
994.6,995.1,1007.8,1013.5,1006.7
994.7,995.2,1007.8,1013.6,1006.8
994.8,995.3,1008.0,1013.6,1006.9
995.0,995.4,1008.1,1013.7,1007.0
995.1,995.5,1008.1,1013.9,1007.1
995.2,995.6,1008.2,1014.0,1007.1
995.2,995.6,1008.2,1014.0,1007.2
995.2,995.7,1008.3,1014.2,1007.3
995.3,995.8,1008.4,1014.1,1007.3
995.4,995.8,1008.5,1014.2,1007.5
995.4,995.9,1008.6,1014.3,1007.5
995.5,995.9,1008.7,1014.3,1007.5
995.5,996.0,1008.8,1014.4,1007.6
995.5,996.0,1008.8,1014.4,1007.7
995.6,996.2,1008.9,1014.6,1007.8
995.6,996.2,1009.0,1014.7,1007.8
