,t1,t2,t3,t4,t5,ap1,ap2,ap3,ap4,ap5,sp1,sp2,sp3,sp4,sp5,ws1,ws2,ws3,ws4,ws5,wd1,wd2,wd3,wd4,wd5,h1,h2,h3,h4,h5,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
4346,17.0,19.9,19.5,16.8,18.9,987.8,988.0,1001.2,1006.9,1000.2,1007.8,1007.8,1007.7,1008.3,1008.5,1.2,0.7,0.0,0.7,0.0,0.0,303.8,0.0,101.4,251.9,95.1,97.9,85.3,87.8,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4347,16.9,19.8,19.7,16.6,18.9,987.9,988.2,1001.3,1006.8,1000.2,1007.9,1008.0,1007.8,1008.3,1008.4,1.0,0.9,0.6,0.0,0.3,212.5,306.1,75.7,0.0,306.7,95.4,97.9,86.4,88.2,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4348,16.7,19.6,19.7,16.6,18.9,987.9,988.3,1001.3,1006.8,1000.2,1007.9,1008.1,1007.8,1008.3,1008.4,0.9,1.7,0.6,0.3,0.0,241.4,312.1,0.0,283.5,336.0,95.4,97.9,86.9,88.5,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4349,16.5,19.5,19.8,16.7,18.9,988.0,988.3,1001.2,1006.9,1000.2,1007.8,1008.1,1007.9,1008.3,1008.5,0.3,0.0,0.6,0.0,0.1,216.1,24.9,0.0,0.0,304.0,95.7,97.9,86.4,88.8,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4350,16.8,19.4,19.7,16.8,18.9,987.9,988.3,1001.2,1007.0,1000.3,1007.8,1008.1,1007.8,1008.4,1008.6,0.4,0.3,0.0,0.0,0.1,0.0,310.1,230.0,0.0,321.6,95.7,97.9,86.7,89.2,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4351,16.8,19.4,19.8,17.0,19.0,988.0,988.2,1001.2,1007.0,1000.3,1007.8,1008.0,1007.9,1008.4,1008.6,0.6,0.6,0.1,0.1,0.0,52.3,284.6,0.0,0.0,296.0,95.8,97.9,85.1,89.5,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,19.0
4352,16.8,19.3,20.1,17.1,19.0,988.1,988.3,1001.2,1007.1,1000.4,1007.8,1008.1,1008.0,1008.5,1008.7,1.1,0.7,0.3,0.3,0.8,24.5,293.1,318.3,250.6,38.5,95.8,97.9,85.8,90.1,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,18.5
4353,16.8,19.2,20.2,17.3,19.0,988.1,988.3,1001.2,1007.0,1000.4,1007.8,1008.1,1007.9,1008.5,1008.6,1.4,0.6,0.8,0.0,0.2,19.2,293.2,57.6,0.0,11.3,95.7,97.9,85.8,90.6,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,18.5
4354,16.8,19.2,20.2,17.4,19.0,988.1,988.4,1001.2,1007.0,1000.4,1007.8,1008.2,1007.9,1008.5,1008.6,0.3,0.0,0.6,0.1,0.3,350.2,303.5,326.9,0.0,0.0,95.7,97.9,85.8,90.9,83.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,19.0
4355,16.8,19.3,20.2,17.5,19.1,988.1,988.4,1001.3,1006.9,1000.3,1007.9,1008.2,1007.9,1008.4,1008.5,0.9,1.4,0.0,0.3,1.1,0.0,272.6,359.9,267.2,62.2,95.2,97.9,85.3,90.3,82.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,19.0
4356,17.3,19.3,20.2,17.7,19.2,988.1,988.4,1001.2,1007.0,1000.3,1007.8,1008.2,1007.9,1008.4,1008.6,0.7,0.4,0.7,0.1,1.4,21.3,202.2,326.8,0.0,61.2,95.0,97.9,84.7,90.3,81.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,19.5
4357,17.5,19.4,20.3,18.1,19.3,988.0,988.4,1001.1,1007.0,1000.4,1007.7,1008.2,1007.7,1008.5,1008.6,0.2,1.4,0.5,0.3,0.8,76.7,179.5,349.5,235.8,163.3,94.6,97.9,84.2,89.8,81.9,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,,19.5
4358,17.7,19.5,20.3,18.3,19.4,988.0,988.4,1001.1,1007.0,1000.4,1007.7,1008.2,1007.7,1008.5,1008.6,0.2,1.0,0.0,0.6,0.7,0.0,155.6,333.5,333.7,197.5,92.7,97.9,83.4,89.3,81.1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,,20.0
4359,18.0,19.6,20.3,18.5,19.5,988.0,988.5,1001.0,1007.2,1000.3,1007.6,1008.3,1007.7,1008.4,1008.8,0.4,1.4,0.3,0.8,0.7,128.5,211.8,355.0,291.4,260.2,90.0,97.2,82.5,89.2,82.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.13,,,,,,,,,,,,,,,,,,,20.0
4360,18.2,19.7,20.1,18.7,19.5,988.0,988.5,1001.0,1007.2,1000.3,1007.6,1008.3,1007.7,1008.4,1008.8,0.3,1.7,0.8,0.3,0.9,30.0,247.2,323.2,268.9,265.7,89.3,95.5,83.3,88.4,83.1,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,,20.5
4361,18.6,19.9,19.8,19.1,19.8,987.8,988.4,1000.9,1007.2,1000.3,1007.5,1008.3,1007.4,1008.5,1008.8,0.0,2.0,1.0,0.3,0.4,25.5,0.0,354.3,287.0,269.8,87.6,93.6,82.7,87.8,84.5,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,,20.5
4362,18.9,20.0,20.1,19.4,20.1,987.7,988.4,1001.0,1007.2,1000.2,1007.6,1008.3,1007.3,1008.3,1008.8,0.1,2.5,0.8,0.5,0.9,41.6,169.5,27.1,222.8,244.3,85.5,93.0,80.6,87.3,84.1,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.32,,,,,,,,,,,,,,,,,,,21.0
4363,18.9,20.3,20.2,19.5,20.1,987.8,988.4,1001.0,1007.1,1000.1,1007.6,1008.3,1007.4,1008.2,1008.7,0.3,1.5,0.5,0.0,1.1,23.9,198.7,340.3,0.0,262.1,83.4,91.6,79.4,86.6,83.9,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,21.5
4364,19.4,20.6,20.2,19.9,20.4,987.9,988.3,1001.2,1007.2,1000.2,1007.8,1008.1,1007.6,1008.3,1008.8,0.4,1.8,1.1,0.4,0.3,13.8,238.1,304.1,230.1,262.5,82.8,90.1,78.1,84.3,83.1,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.63,,,,,,,,,,,,,,,,,,,22.0
4365,20.2,20.9,20.2,19.8,20.6,988.1,988.4,1001.4,1007.2,1000.2,1008.0,1008.2,1007.8,1008.3,1008.8,0.4,1.3,0.9,0.4,1.3,306.1,94.3,212.1,277.8,251.1,83.1,85.7,75.8,82.5,83.3,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.84,,,,,,,,,,,,,,,,,,,23.5
4366,20.3,21.3,20.2,20.3,21.1,988.1,988.3,1001.5,1007.2,1000.2,1008.1,1008.1,1007.8,1008.3,1008.8,1.0,0.5,1.1,0.3,1.7,290.5,97.0,246.5,29.2,205.8,81.6,84.8,74.8,82.2,83.2,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,1.07,,,,,,,,,,,,,,,,,,,24.5
4367,20.3,21.4,20.3,20.6,21.3,988.2,988.4,1001.6,1007.2,1000.4,1008.2,1008.1,1007.8,1008.5,1008.8,0.6,0.5,1.5,1.9,1.7,288.3,151.9,276.0,338.8,226.3,81.1,85.5,73.3,80.2,82.9,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,25.5
4368,20.9,21.6,20.6,20.8,20.7,988.3,988.5,1001.8,1007.2,1000.5,1008.4,1008.3,1007.9,1008.6,1008.8,0.0,1.9,0.8,1.0,1.2,238.9,0.0,279.5,80.6,264.2,78.2,81.7,75.2,79.5,82.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.54,,,,,,,,,,,,,,,,,,,27.0
4369,21.4,22.3,20.8,21.1,21.2,988.4,988.6,1001.7,1007.2,1000.7,1008.3,1008.3,1008.0,1008.7,1008.8,0.3,1.3,1.2,0.3,0.8,210.3,11.3,242.5,6.6,225.1,77.9,78.9,74.6,78.0,80.9,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,1.85,,,,,,,,,,,,,,,,,,,28.5
4370,21.6,22.2,21.0,21.6,21.3,988.4,988.8,1001.8,1007.2,1000.8,1008.4,1008.5,1007.9,1008.8,1008.7,0.7,0.5,1.6,0.5,1.2,202.8,87.4,143.4,353.5,208.8,74.8,76.3,73.7,76.4,79.5,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,1.99,,,,,,,,,,,,,,,,,,,28.0
4371,22.0,22.1,21.5,21.6,21.3,988.4,988.8,1001.9,1007.1,1000.7,1008.5,1008.5,1007.9,1008.8,1008.6,0.0,1.4,0.8,2.1,1.3,207.0,0.0,224.7,13.7,239.7,75.2,76.2,73.6,76.2,79.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,2.14,,,,,,,,,,,,,,,,,,,27.0
4372,21.6,22.2,21.2,22.6,21.4,988.5,988.6,1001.7,1007.1,1000.6,1008.3,1008.3,1007.9,1008.6,1008.6,0.0,0.7,0.9,1.3,0.5,264.9,0.0,276.3,33.7,280.7,69.1,74.0,72.8,76.4,78.7,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,2.26,,,,,,,,,,,,,,,,,,,26.0
4373,22.5,22.4,21.6,22.1,21.8,988.3,988.6,1001.7,1007.1,1000.5,1008.3,1008.3,1007.8,1008.5,1008.6,0.0,1.3,2.3,2.6,1.0,237.9,0.0,200.6,24.7,284.4,71.7,71.4,71.8,76.0,76.5,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,2.44,,,,,,,,,,,,,,,,,,,25.5
4374,22.3,22.4,21.6,21.7,21.7,988.1,988.5,1001.6,1007.1,1000.4,1008.2,1008.2,1007.6,1008.4,1008.6,1.8,0.6,2.3,1.5,0.6,222.4,336.8,95.5,333.5,247.5,72.2,73.1,69.5,76.1,77.3,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,2.63,,,,,,,,,,,,,,,,,,,25.5
4375,22.2,22.3,21.9,21.7,21.8,988.2,988.6,1001.4,1007.0,1000.4,1008.0,1008.3,1007.7,1008.4,1008.5,1.5,0.3,1.3,1.9,1.7,221.4,325.2,298.4,356.7,2.4,73.2,71.7,68.9,76.1,75.6,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,2.79,,,,,,,,,,,,,,,,,,,25.0
4376,23.0,22.4,22.3,21.9,22.2,988.2,988.6,1001.3,1007.0,1000.4,1007.8,1008.2,1007.7,1008.4,1008.5,0.2,1.6,1.4,0.1,1.2,199.5,295.5,242.5,166.3,247.5,73.7,67.9,67.7,76.4,72.1,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,2.98,,,,,,,,,,,,,,,,,,,25.5
4377,24.1,22.6,22.7,22.1,23.0,988.0,988.5,1001.3,1007.0,1000.4,1007.8,1008.0,1007.5,1008.4,1008.5,0.0,1.0,0.9,0.7,0.6,163.5,0.0,43.5,123.6,267.8,71.9,65.7,64.5,76.2,70.5,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,3.19,,,,,,,,,,,,,,,,,,,25.5
4378,23.5,23.0,23.0,22.5,22.5,988.0,988.6,1001.4,1007.0,1000.4,1007.9,1008.2,1007.4,1008.4,1008.5,0.0,0.7,1.4,1.0,1.7,141.8,0.0,24.1,281.3,290.7,69.7,66.5,64.0,74.8,69.6,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,3.43,,,,,,,,,,,,,,,,,,,25.5
4379,23.3,23.0,23.3,22.3,22.2,988.1,988.5,1001.5,1007.0,1000.5,1008.0,1008.1,1007.6,1008.5,1008.5,1.8,1.8,1.4,1.4,1.2,174.9,293.4,10.0,215.3,285.0,70.6,66.5,65.2,74.5,67.3,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,3.66,,,,,,,,,,,,,,,,,,,26.0
4380,23.7,23.1,23.8,22.7,22.8,988.3,988.6,1001.4,1007.0,1000.5,1007.9,1008.2,1007.7,1008.5,1008.5,1.0,1.0,1.7,1.1,0.9,210.1,330.1,70.6,19.0,321.8,69.8,66.4,64.6,74.8,65.1,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,3.89,,,,,,,,,,,,,,,,,,,26.0
4381,23.6,23.1,23.7,23.1,23.5,988.2,988.4,1001.3,1006.9,1000.4,1007.8,1007.9,1007.6,1008.4,1008.4,0.0,1.4,0.5,1.4,1.4,194.7,0.0,359.5,330.7,341.5,68.4,63.8,62.3,73.4,64.9,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,4.11,,,,,,,,,,,,,,,,,,,27.0
4382,24.5,23.4,23.5,22.7,23.8,988.1,988.4,1001.4,1007.0,1000.6,1007.9,1007.9,1007.5,1008.6,1008.5,0.0,0.0,0.8,1.8,1.4,274.2,0.0,138.5,293.6,331.1,69.0,61.7,63.3,72.6,63.2,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,4.35,,,,,,,,,,,,,,,,,,,27.5
4383,24.7,23.6,24.1,22.6,24.1,988.1,988.5,1001.3,1006.9,1000.4,1007.8,1007.9,1007.5,1008.4,1008.4,0.6,2.5,1.9,0.4,1.4,209.2,287.9,286.5,195.8,269.1,68.5,63.1,61.7,71.1,62.8,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,4.67,,,,,,,,,,,,,,,,,,,27.5
4384,24.2,23.9,24.1,23.0,24.3,988.2,988.5,1001.3,1006.8,1000.5,1007.8,1007.9,1007.6,1008.5,1008.3,1.5,1.9,0.8,2.3,0.6,148.5,302.5,13.5,335.3,230.7,67.3,63.6,59.0,70.8,62.6,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,5.03,,,,,,,,,,,,,,,,,,,28.5
4385,24.3,24.2,24.5,22.9,23.5,988.2,988.4,1001.3,1006.7,1000.3,1007.8,1007.9,1007.6,1008.3,1008.2,0.4,2.1,0.9,0.5,1.3,214.8,168.6,248.3,62.2,303.3,67.6,64.0,62.0,68.1,59.8,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,5.47,,,,,,,,,,,,,,,,,,,30.0
4386,23.8,24.7,24.2,24.1,24.7,988.1,988.3,1001.1,1006.6,1000.2,1007.6,1007.8,1007.4,1008.1,1008.1,0.3,1.1,1.2,0.3,1.3,203.1,341.0,152.6,146.7,273.7,66.0,66.2,56.9,66.8,62.1,0.0,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,5.91,,,,,,,,,,,,,,,,,,,29.5
4387,23.9,24.8,24.3,23.6,24.8,987.9,988.2,1001.1,1006.5,1000.2,1007.6,1007.7,1007.2,1008.1,1008.0,0.7,1.2,0.8,1.8,1.4,167.8,275.8,168.4,284.0,203.9,66.6,66.5,58.6,67.2,61.1,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,6.2,,,,,,,,,,,,,,,,,,,29.5
4388,24.0,24.4,24.3,23.3,25.2,987.8,988.1,1000.9,1006.5,1000.0,1007.4,1007.6,1007.1,1007.9,1008.0,0.1,0.1,1.0,2.3,1.5,134.4,0.0,135.6,348.9,357.2,65.4,66.1,58.3,64.9,60.5,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,6.46,,,,,,,,,,,,,,,,,,,29.0
4389,24.4,24.6,24.5,24.7,25.2,987.6,987.9,1000.7,1006.5,999.9,1007.2,1007.4,1007.0,1007.8,1008.0,0.1,1.7,2.1,1.9,1.2,18.2,235.1,218.3,298.2,162.8,62.8,65.8,58.7,65.3,59.6,0.0,0.0,0.0,0.0,0.0,5.61,0.0,0.0,0.0,6.75,,,,,,,,,,,,,,,,,,,30.5
