wd1,wd2,wd3,wd4,wd5
121.5,164.2,227.5,267.4,249.9
144.4,183.1,287.3,280.3,252.3
58.1,99.2,283.4,284.3,251.6
75.6,142.0,214.3,281.9,251.8
84.6,123.4,225.7,226.8,239.3
134.2,119.9,202.8,280.5,242.0
149.4,133.3,175.2,275.5,243.9
32.7,120.7,108.6,218.6,223.2
46.9,153.6,117.7,261.6,255.3
7.4,125.9,53.3,299.7,238.2
354.0,142.2,52.9,261.8,225.0
13.1,147.5,43.6,257.8,234.9
337.2,132.8,14.1,279.4,245.3
13.2,141.8,85.5,274.2,253.1
77.7,150.0,219.5,259.4,241.6
217.6,170.0,97.2,260.9,246.3
272.2,60.4,44.7,251.8,216.4
0.0,221.9,118.4,247.7,225.8
344.6,149.3,53.3,262.2,237.5
273.4,133.4,0.0,248.8,261.5
126.1,157.4,0.0,264.2,262.5
356.8,151.2,68.2,289.2,232.6
121.7,155.6,0.0,277.2,233.7
7.4,134.2,0.0,272.8,313.7
123.5,136.5,87.1,237.1,250.6
153.4,152.3,96.1,270.6,182.7
130.5,142.5,204.7,267.1,225.8
217.9,135.7,0.0,268.1,209.5
180.7,132.2,357.3,257.6,218.5
52.8,143.8,0.0,219.9,198.9
154.9,137.5,0.0,247.8,208.5
0.0,152.0,0.0,260.2,236.1
21.6,147.1,0.0,324.3,230.0
245.3,191.3,24.4,0.0,253.1
0.0,142.9,132.4,0.0,262.0
250.2,167.6,0.0,0.0,259.2
193.7,169.3,57.0,0.0,251.0
152.1,141.8,0.0,324.7,196.3
262.1,149.7,0.0,300.0,189.9
228.5,139.3,0.0,327.3,213.6
15.4,153.4,0.0,0.0,201.6
0.0,144.3,0.0,152.3,209.7
158.2,135.8,0.0,271.7,132.5
220.3,120.1,0.0,89.6,143.7
229.9,88.2,0.0,49.7,150.9
195.1,151.6,300.2,96.8,166.2
158.5,115.8,0.0,85.1,172.5
188.8,125.0,0.0,104.2,147.0
230.5,126.7,0.0,83.1,153.0
221.4,123.2,0.0,80.2,144.3
196.3,134.8,0.0,92.4,151.0
184.4,120.9,0.0,91.2,164.6
0.0,110.3,277.1,146.9,174.9
0.0,125.6,0.0,114.4,211.1
241.8,114.5,0.0,170.2,271.1
218.0,115.6,0.0,0.0,196.0
216.2,112.1,0.0,0.0,206.2
232.4,124.4,0.0,0.0,201.0
254.7,86.3,0.0,0.0,206.9
243.3,122.3,0.0,0.0,157.2
150.2,121.1,0.0,0.0,200.6
80.4,143.4,0.0,0.0,156.3
0.0,123.3,0.0,0.0,0.0
0.0,108.5,0.0,0.0,244.4
318.3,124.4,183.4,0.0,263.7
236.1,135.2,0.0,0.0,194.8
227.3,115.0,0.0,0.0,164.0
227.5,117.6,0.0,0.0,242.1
268.1,127.5,0.0,0.0,260.5
301.9,120.6,0.0,298.4,236.6
247.4,118.5,0.0,282.3,157.4
291.7,113.1,149.3,0.0,159.3
281.7,108.0,187.1,278.9,159.7
253.9,113.7,170.2,335.5,178.1
257.8,107.6,194.7,279.8,172.9
280.9,103.1,218.8,0.0,154.4
253.7,102.4,165.1,0.0,167.3
166.9,140.8,164.8,0.0,167.5
46.4,119.1,126.1,0.0,173.9
298.2,103.6,147.6,0.0,192.9
271.8,127.4,139.3,0.0,187.8
56.4,110.3,149.1,0.0,229.6
56.8,158.5,225.6,60.7,184.7
72.2,129.4,164.6,153.4,226.1
54.9,142.7,233.8,121.3,268.7
68.1,173.0,217.7,73.7,250.3
39.7,109.2,214.0,126.1,231.5
46.8,181.3,212.2,80.2,264.1
8.9,99.9,231.9,76.5,259.9
64.1,133.5,223.0,151.1,203.2
331.2,132.9,208.5,82.4,254.1
93.2,134.0,251.1,52.5,182.2
66.0,115.9,232.1,80.5,235.7
20.4,166.8,216.6,0.0,241.2
299.4,141.0,208.1,233.1,213.0
139.0,118.0,213.0,249.1,195.3
113.9,127.0,224.9,270.9,253.2
144.6,121.3,222.0,273.8,253.7
109.2,113.8,217.1,264.6,235.3
172.1,120.4,212.3,230.5,217.6
174.7,130.2,212.9,226.1,261.0
148.7,169.0,236.8,236.3,238.8
157.3,107.7,223.7,240.0,252.7
178.2,134.4,196.1,269.2,242.9
106.4,147.2,204.9,275.4,242.7
118.1,162.6,210.3,281.4,264.8
86.6,238.7,232.7,241.4,231.0
100.5,184.5,224.0,255.4,246.4
90.3,189.1,218.0,228.6,266.1
145.1,163.5,219.9,237.8,238.8
124.4,172.8,231.0,244.9,186.9
191.2,132.0,225.0,238.0,187.4
172.8,175.4,216.0,230.0,248.3
197.6,143.0,221.6,214.0,255.9
154.7,122.9,222.5,222.4,228.7
160.9,165.3,227.4,252.4,249.5
185.2,144.3,243.6,214.5,251.7
142.2,199.1,224.8,225.8,245.6
189.0,175.2,227.3,225.5,247.6
148.9,53.4,223.7,226.2,266.5
218.4,33.1,220.8,216.4,245.6
196.2,151.5,215.3,282.2,247.3
170.1,156.0,211.9,192.8,234.4
186.4,176.0,224.7,234.8,216.2
163.8,93.4,228.0,199.9,225.1
149.7,239.5,228.5,213.2,264.1
128.1,275.6,216.2,221.8,232.9
141.3,93.1,227.6,221.6,233.3
129.4,14.6,233.1,238.1,256.4
142.0,206.8,218.8,287.8,264.7
171.5,181.5,224.0,279.4,237.3
161.6,198.6,217.2,254.7,234.4
163.3,190.3,231.2,268.9,228.8
164.0,192.0,240.4,277.7,236.0
171.9,203.4,252.5,271.9,254.0
182.2,213.8,221.6,270.0,249.4
150.8,161.9,278.0,264.7,231.3
138.3,224.1,275.5,250.5,234.5
160.0,161.3,280.1,266.2,256.1
176.4,221.5,235.4,284.1,239.4
182.3,232.0,208.0,245.9,258.4
156.0,236.1,253.0,267.9,252.6
166.6,223.1,202.0,266.5,236.8
126.2,208.8,201.6,259.8,253.3
107.1,217.0,235.1,294.0,256.5
72.2,209.4,221.5,305.8,237.1
70.8,180.9,319.4,277.9,226.8
52.1,195.1,186.1,0.0,254.9
13.0,0.0,318.2,0.0,232.5
220.5,152.3,269.0,0.0,195.6
178.8,147.8,182.8,0.0,260.6
172.1,150.3,293.9,343.3,235.7
230.7,161.2,324.1,0.0,241.9
0.0,138.1,0.0,18.7,239.4
99.2,142.5,255.0,71.4,230.6
0.0,142.6,291.2,0.0,216.7
217.9,150.6,284.2,0.0,223.1
185.7,126.7,0.0,0.0,219.6
208.5,121.8,228.4,0.0,250.5
228.6,120.5,240.8,0.0,265.5
162.8,118.4,110.7,234.3,247.1
212.0,107.9,76.8,0.6,246.6
215.5,145.7,100.9,210.0,221.8
183.4,139.7,71.8,0.0,207.8
188.9,124.1,0.0,97.2,233.0
334.2,122.6,76.2,102.3,229.8
162.4,132.5,125.7,115.7,204.1
224.3,128.7,0.0,0.0,210.0
180.5,131.5,0.0,0.0,148.3
235.5,130.4,0.0,0.0,186.7
213.3,120.7,0.0,0.0,182.5
0.0,128.4,93.4,319.6,261.0
175.0,145.2,120.4,0.0,251.2
324.4,135.0,0.0,0.0,229.8
107.9,154.5,0.0,0.0,194.1
248.5,123.4,76.4,0.0,0.0
346.7,118.5,95.9,0.0,170.8
287.3,134.0,176.7,0.0,162.4
231.5,107.1,127.6,0.0,276.1
247.7,122.3,156.5,0.0,160.1
214.4,115.9,130.2,0.0,157.5
39.0,113.9,146.9,0.0,176.2
300.2,116.8,78.3,0.0,165.1
323.5,120.2,87.6,0.0,151.7
239.0,118.7,0.0,0.0,158.7
297.6,124.3,57.9,302.6,156.0
144.7,134.6,0.0,277.8,168.1
0.0,107.3,0.0,0.0,298.7
260.1,119.4,0.0,0.0,218.7
122.1,117.1,0.0,316.9,224.9
31.8,121.9,0.0,303.6,183.8
96.8,25.4,0.0,0.0,149.8
78.4,35.6,0.0,269.5,157.6
48.0,38.7,0.0,0.0,218.6
353.5,35.2,0.0,0.0,177.6
229.3,34.7,0.0,0.0,171.3
0.0,45.4,0.0,0.0,188.8
238.2,21.0,0.0,0.0,192.4
234.9,17.5,58.9,0.0,188.1
244.8,18.5,0.0,0.0,180.6
0.0,10.2,0.0,0.0,225.7
0.0,328.6,0.0,0.0,257.2
0.0,35.3,0.0,0.0,197.9
0.0,27.8,0.0,0.0,150.6
74.0,137.9,0.0,0.0,156.8
0.0,154.6,89.7,0.0,149.7
5.5,113.9,78.6,0.0,142.1
349.3,136.6,100.4,0.0,147.9
249.5,152.3,0.0,133.9,147.3
0.0,157.8,106.2,211.4,0.0
0.0,185.9,99.3,133.1,149.0
356.1,201.1,109.2,353.6,0.0
274.5,202.2,101.4,0.0,152.8
232.9,174.3,110.5,0.0,150.9
244.1,154.4,125.4,0.0,158.7
262.3,115.1,122.5,0.0,162.1
204.7,115.1,138.0,0.0,184.0
219.9,156.3,133.0,0.0,178.1
255.3,115.3,115.3,71.2,172.6
226.2,112.6,134.6,107.0,166.9
26.2,156.6,113.2,0.0,229.9
238.5,159.5,140.9,37.0,226.2
230.8,192.4,296.9,295.4,232.2
223.8,132.6,195.7,214.5,233.2
142.5,148.0,94.4,314.3,254.8
311.3,122.3,187.9,0.3,188.9
236.7,148.4,214.3,211.3,266.1
294.8,151.8,213.7,285.0,235.2
134.6,109.5,267.8,298.1,244.5
78.2,92.0,224.3,274.7,230.5
171.1,107.2,225.9,259.7,253.0
88.5,104.7,125.9,300.0,263.8
90.0,177.3,141.2,301.1,255.1
24.6,125.3,142.4,279.1,234.8
265.2,143.3,171.8,311.3,203.5
35.2,174.9,139.5,262.9,265.6
96.4,116.2,225.9,266.1,186.4
201.9,120.2,262.9,291.1,245.0
193.5,131.7,242.3,301.5,254.8
155.9,116.7,218.7,284.1,227.0
103.1,136.9,244.1,259.5,258.6
134.8,118.2,257.6,252.7,309.9
180.0,111.2,216.7,211.5,182.1
279.4,124.8,240.2,288.2,178.1
175.3,108.7,219.2,291.6,182.7
198.6,160.0,214.3,277.6,251.7
157.7,122.6,294.7,274.8,222.5
170.7,134.8,241.1,291.2,191.2
173.8,120.7,202.2,284.0,248.7
160.1,100.7,238.5,229.4,219.5
208.1,119.4,217.6,220.8,268.9
159.4,144.4,219.1,228.7,260.6
128.6,145.6,220.6,282.4,275.3
125.1,138.1,178.6,298.4,247.6
146.4,121.0,226.6,264.9,324.9
97.0,122.8,205.2,223.7,177.8
152.9,229.8,210.1,278.1,273.2
146.2,117.3,206.6,322.5,286.1
145.8,251.6,293.1,284.6,244.1
125.5,219.6,212.2,259.0,323.4
97.0,232.4,210.5,239.9,285.4
142.8,237.6,187.6,280.2,194.3
173.4,231.1,210.2,265.3,258.7
174.5,213.6,225.8,296.3,21.1
187.3,268.6,182.4,288.9,274.9
166.9,221.8,228.7,285.6,307.9
209.4,20.1,289.3,294.1,281.3
179.9,213.0,225.7,321.0,332.8
154.2,179.4,247.9,284.4,268.4
201.0,208.9,218.9,303.0,304.7
163.1,247.3,238.8,284.5,324.7
171.8,287.7,198.1,256.8,240.3
153.9,231.0,220.7,233.5,277.8
140.2,247.7,226.2,275.0,318.0
131.6,187.3,222.6,270.4,323.7
159.8,250.4,221.5,289.9,304.9
115.7,19.3,232.4,302.6,253.5
174.6,167.1,222.5,302.0,284.7
158.8,218.9,230.1,261.9,296.9
139.8,193.2,218.6,287.9,306.5
169.9,207.6,222.0,273.7,296.3
118.2,218.5,221.1,254.4,300.1
177.3,218.8,206.5,260.4,321.0
151.4,170.0,218.0,270.1,295.4
151.3,227.1,209.1,263.2,304.1
193.3,225.2,178.9,271.2,304.7
116.4,176.9,226.3,259.4,319.2
121.7,204.7,0.0,234.8,309.3
203.8,193.7,0.0,225.8,248.1
195.0,146.6,0.0,227.5,270.8
274.4,248.0,303.0,272.5,261.2
304.7,241.2,261.9,243.7,245.9
236.7,149.9,0.0,0.0,240.4
193.1,164.6,0.0,0.0,185.9
215.4,161.7,0.0,0.0,240.2
48.7,143.4,52.6,0.0,208.4
0.0,137.6,310.6,0.0,229.7
234.3,146.8,0.0,0.0,254.8
242.8,171.5,24.4,0.0,241.4
262.1,135.2,248.4,0.0,230.4
240.0,143.9,0.0,260.0,225.6
224.0,147.4,297.0,248.9,173.8
212.2,140.0,269.2,0.0,175.8
182.0,138.7,307.8,0.0,158.2
0.0,127.6,46.7,0.0,143.7
204.0,125.0,334.2,0.0,186.9
224.0,63.3,218.3,0.0,219.2
185.8,0.0,216.7,0.0,251.4
210.6,95.7,256.4,0.0,248.8
294.2,0.0,204.9,0.0,258.3
246.2,71.1,0.0,0.0,149.5
230.1,111.5,29.6,0.0,150.4
178.6,110.2,0.0,0.0,148.0
0.0,155.5,141.4,0.0,145.8
0.0,138.5,0.0,0.0,189.4
228.4,0.0,0.0,0.0,223.9
0.0,85.3,100.0,0.0,167.7
0.0,124.4,83.1,0.0,162.5
231.5,146.6,120.8,0.0,164.7
0.0,145.3,0.0,0.0,160.1
229.9,0.0,0.0,306.4,177.7
212.0,0.0,0.0,261.4,198.2
222.6,0.0,0.0,268.6,261.3
0.0,0.0,0.0,0.0,171.2
253.5,338.1,0.0,0.0,248.2
211.8,352.4,0.0,0.0,223.5
233.6,42.4,227.1,292.7,152.4
163.3,0.0,0.0,315.6,155.5
165.5,0.0,0.0,0.0,139.5
0.0,158.8,0.0,290.2,142.8
0.0,0.0,0.0,272.8,196.5
215.3,23.4,0.0,0.0,154.8
249.9,67.5,0.0,253.9,165.1
253.5,22.9,197.1,283.3,61.0
220.9,6.2,0.0,0.0,29.7
0.0,29.0,0.0,0.0,62.1
34.7,332.4,0.0,0.0,0.0
13.3,256.0,0.0,243.5,148.9
286.4,0.0,0.0,251.6,144.1
225.2,237.6,0.0,266.2,140.6
176.0,217.0,0.0,0.0,173.4
0.0,200.5,0.0,0.0,154.7
0.0,185.8,0.0,0.0,149.7
0.0,196.9,0.0,0.0,168.7
238.4,192.2,0.0,0.0,219.5
0.0,0.0,0.0,0.0,282.8
0.0,0.0,0.0,0.0,0.0
354.4,32.3,0.0,0.0,209.6
270.9,23.6,0.0,265.3,153.1
238.2,6.9,0.0,0.0,184.0
227.8,34.9,0.0,0.0,162.5
287.2,5.0,0.0,227.6,143.8
276.0,38.7,0.0,0.0,160.7
177.2,78.1,0.0,280.4,159.1
308.1,153.4,0.0,0.0,164.5
0.0,256.3,0.0,0.0,209.1
199.7,261.0,0.0,0.0,212.8
0.0,266.9,0.0,0.0,178.3
0.0,261.2,0.0,0.0,315.2
31.2,270.2,0.0,341.2,0.0
0.0,256.5,0.0,351.8,169.5
233.9,279.8,0.0,263.4,177.9
316.7,0.0,0.0,284.3,170.6
307.8,148.9,0.0,26.1,125.2
235.3,120.0,0.0,0.0,328.5
232.7,46.4,0.0,0.0,95.2
183.5,0.0,0.0,180.6,302.0
161.3,14.3,0.0,0.0,0.0
169.1,353.9,0.0,134.4,271.3
189.8,10.2,0.0,243.9,163.3
241.8,19.8,0.0,300.8,191.2
176.1,53.7,110.2,0.0,189.7
195.2,61.2,131.1,0.0,192.3
177.5,165.3,134.5,0.0,182.2
210.4,124.7,158.7,0.0,155.3
263.5,112.7,126.2,211.3,137.8
172.4,30.3,149.0,106.7,159.0
151.3,113.4,187.4,146.6,172.8
52.6,118.6,211.6,0.0,176.0
95.1,111.0,176.8,2.5,245.3
74.9,109.0,182.3,93.0,197.4
71.9,108.5,157.6,138.1,250.2
58.3,107.5,164.4,120.1,231.0
30.7,96.9,143.9,94.0,184.4
76.2,118.1,228.3,127.9,243.1
47.2,123.0,225.6,106.1,232.7
66.3,112.7,165.6,98.8,208.2
66.0,123.5,185.2,122.2,202.2
75.9,248.6,172.0,168.8,231.9
81.1,115.1,167.3,122.9,268.1
22.5,147.7,184.7,152.7,247.7
26.2,107.4,197.5,83.6,250.0
98.2,170.3,183.6,48.3,256.6
69.4,202.0,140.9,72.1,210.0
342.4,133.7,167.3,248.7,163.6
65.0,173.5,186.6,225.9,158.1
84.0,144.7,161.3,239.1,181.0
40.3,185.9,167.3,213.7,309.4
88.1,163.9,149.2,294.2,214.5
44.8,140.7,189.0,232.6,267.2
165.2,235.4,218.8,245.6,286.7
113.0,184.0,185.9,243.8,260.0
173.0,182.2,196.1,208.6,264.6
57.8,158.5,176.0,246.2,246.3
133.5,205.5,218.7,275.4,258.1
203.5,330.4,200.9,231.0,266.1
174.9,172.1,219.0,268.1,266.9
227.5,348.3,199.6,191.4,273.0
193.9,232.4,231.9,203.0,280.4
185.8,341.6,218.9,184.8,253.6
178.8,249.4,231.1,112.4,222.4
185.8,235.6,219.1,212.3,301.5
191.2,171.9,230.9,0.0,229.8
176.7,186.7,226.8,224.6,202.8
198.5,180.1,225.4,214.2,251.6
175.1,152.7,234.9,239.9,234.5
208.9,180.0,223.7,166.3,241.1
147.7,108.8,209.9,234.1,251.6
197.3,64.7,204.0,235.5,250.8
199.5,203.7,231.4,199.3,260.2
182.9,213.4,223.4,209.4,250.6
195.8,125.3,209.0,217.5,260.0
168.3,116.5,223.3,251.7,239.5
191.8,189.2,296.1,245.2,255.7
197.5,154.5,238.8,223.1,254.9
175.5,136.4,266.4,240.3,251.9
201.8,145.2,224.2,222.1,247.7
171.3,141.1,223.9,241.2,262.8
213.8,163.6,240.7,239.9,248.8
186.0,154.6,232.4,232.4,265.3
195.0,119.2,265.5,218.5,250.2
238.0,351.1,244.2,187.3,231.1
13.9,144.1,251.8,0.0,262.4
26.8,117.0,230.9,0.0,248.5
156.4,35.1,230.1,259.7,251.1
203.9,163.9,228.0,285.7,255.7
274.6,129.3,231.9,0.0,260.0
293.2,128.6,299.1,253.1,269.8
251.3,138.1,230.6,272.5,244.4
211.9,113.2,274.4,278.4,247.3
125.3,132.4,274.2,0.0,272.3
58.4,135.6,262.3,0.0,260.2
246.2,239.9,277.6,0.0,256.4
0.0,141.0,272.7,312.2,242.4
214.1,140.2,269.8,0.0,249.6
202.9,159.2,244.2,0.0,255.7
195.6,153.0,252.2,0.0,250.1
251.3,113.1,277.7,0.0,248.3
216.0,133.1,258.7,0.0,261.7
237.6,104.0,267.3,263.3,256.4
0.0,114.1,260.7,272.0,250.5
0.0,123.4,255.0,279.4,251.8
0.0,123.4,275.3,264.4,254.5
211.2,123.9,273.0,0.0,249.8
0.0,108.6,0.0,0.0,253.4
238.3,135.3,0.0,0.0,258.5
234.1,131.6,64.1,0.0,272.8
0.0,111.3,99.9,0.0,247.8
0.0,126.9,0.0,0.0,245.9
0.0,118.6,0.0,279.2,246.1
232.7,128.4,115.8,0.0,242.6
0.0,130.8,347.3,228.5,253.1
205.9,135.8,89.5,222.7,244.4
226.0,122.1,0.0,234.1,259.7
0.0,152.4,0.0,268.5,260.9
217.4,131.2,0.0,288.3,263.2
198.5,120.8,0.0,0.0,237.6
193.3,129.6,0.0,0.0,247.4
225.0,122.1,0.0,290.8,244.3
246.5,133.2,0.0,0.0,259.0
0.0,121.1,0.0,286.0,252.8
255.9,134.9,0.0,221.9,254.8
226.9,129.9,0.0,259.9,251.6
181.0,130.8,0.0,301.5,264.3
217.8,135.2,0.0,0.0,252.3
240.7,130.1,0.0,0.0,214.5
213.7,126.4,0.0,259.9,275.7
258.9,126.6,0.0,269.4,253.7
170.1,136.2,0.0,228.4,256.0
242.3,125.5,0.0,295.3,264.3
0.0,137.2,0.0,0.0,263.0
248.4,125.3,0.0,0.0,262.3
0.0,125.5,0.0,0.0,251.7
221.3,124.1,0.0,0.0,257.3
244.1,131.5,0.0,0.0,244.5
238.6,119.8,0.0,0.0,202.9
246.8,115.1,0.0,0.0,208.8
220.7,105.9,0.0,246.2,247.7
211.9,99.2,0.0,0.0,257.6
235.3,45.4,0.0,0.0,266.2
194.0,19.6,0.0,265.6,246.0
195.9,36.3,0.0,211.6,228.0
0.0,33.7,0.0,0.0,242.0
219.8,24.5,0.0,0.0,256.3
255.1,25.4,0.0,0.0,217.0
228.4,21.2,0.0,271.9,0.0
224.0,10.0,0.0,282.2,164.4
238.9,13.6,0.0,0.0,155.3
207.5,22.3,0.0,0.0,154.9
233.5,31.7,145.0,0.0,163.4
232.4,39.2,142.4,0.0,227.3
231.0,24.3,0.0,0.0,177.4
225.9,28.2,0.0,0.0,156.9
232.4,15.1,161.4,0.0,164.6
215.1,276.7,131.8,0.0,190.0
237.7,291.6,0.0,0.0,294.8
229.6,255.2,226.1,297.3,127.3
244.2,278.1,188.2,0.0,198.4
244.0,275.9,209.8,209.9,221.9
261.2,280.9,235.1,0.0,241.7
153.8,0.0,194.4,0.0,176.2
173.6,28.3,188.7,174.7,218.0
183.1,74.2,213.5,0.0,231.1
207.5,79.3,220.3,0.0,165.5
217.0,56.4,216.0,36.4,130.4
238.6,17.0,206.2,0.0,110.3
39.0,167.8,220.4,0.0,179.5
182.7,153.4,263.5,0.0,139.6
229.8,144.7,144.9,221.1,169.9
330.9,235.7,179.7,0.0,220.9
198.5,129.0,212.6,0.0,247.6
239.5,150.9,137.2,0.0,222.3
253.5,160.7,134.5,0.0,262.3
203.8,157.0,134.6,0.0,266.6
171.5,121.8,218.7,0.0,262.6
148.8,249.4,151.7,9.4,266.2
160.6,115.7,121.7,0.0,250.5
85.0,122.2,236.2,281.7,266.5
204.9,121.6,210.0,289.0,256.8
214.6,124.7,229.1,291.4,153.5
166.9,145.8,257.1,344.8,253.3
185.0,127.7,265.4,310.5,258.6
97.4,155.5,228.0,0.0,259.6
108.1,123.5,202.2,291.5,230.0
105.4,125.1,224.9,184.2,183.2
144.6,127.1,226.8,264.1,197.3
207.4,131.5,219.4,239.8,261.0
203.6,142.5,227.5,276.7,233.8
151.8,123.1,213.0,288.2,291.3
166.1,137.1,266.7,0.0,213.0
171.0,117.0,290.7,286.2,248.6
193.0,145.8,256.7,274.0,200.8
202.4,122.8,218.3,55.7,231.2
144.9,131.6,262.5,247.8,227.9
161.0,265.4,264.0,292.3,248.0
134.2,160.3,285.6,292.5,254.5
110.5,144.6,279.6,349.9,236.0
86.8,210.8,294.9,242.0,197.3
106.2,137.6,242.9,250.0,235.2
155.7,188.4,233.0,305.1,241.1
212.4,237.1,245.3,284.0,243.7
203.6,141.0,277.9,256.7,259.1
186.9,119.5,221.2,257.0,194.1
216.4,324.1,271.9,252.9,211.3
175.5,224.3,236.6,205.0,262.4
180.1,180.7,264.0,225.2,228.7
191.9,196.0,290.8,0.0,216.4
173.2,246.5,219.3,271.5,251.2
199.1,225.1,287.3,255.6,231.8
164.8,214.0,250.4,330.1,234.1
120.3,261.0,236.2,328.1,205.1
193.3,224.9,219.9,303.7,259.9
201.4,247.6,241.8,313.4,235.6
182.3,245.6,241.5,297.4,251.0
211.0,160.2,219.6,316.4,245.4
152.4,207.1,218.8,291.4,220.3
163.1,217.0,235.9,283.3,251.7
183.0,239.0,216.3,286.4,238.6
198.8,263.4,212.2,280.8,259.9
188.9,268.4,190.8,279.2,226.6
191.6,0.0,212.7,321.5,249.5
202.1,291.9,221.2,285.0,258.2
228.3,275.8,225.0,290.4,248.1
264.5,0.0,215.7,0.0,259.2
279.3,248.5,228.3,287.1,276.4
265.2,184.9,236.2,272.4,264.1
232.9,0.0,238.5,274.0,299.2
218.3,253.0,214.1,0.0,245.7
234.1,256.6,244.8,0.0,194.2
314.0,251.9,267.5,261.5,259.7
96.4,0.0,255.5,275.6,269.6
3.8,0.0,228.6,0.0,237.4
220.1,0.0,158.1,0.0,251.6
