s1,s2,s3,s4,s5
19.12,0.0,0.0,0.0,20.09
19.73,0.0,0.0,0.0,20.73
20.32,0.0,0.0,0.0,21.36
20.9,0.0,0.0,0.0,21.97
21.48,0.0,0.0,0.0,22.58
22.04,0.0,0.0,0.0,23.18
22.6,0.0,0.0,0.0,23.76
23.12,0.0,0.0,0.0,24.33
23.64,0.0,0.0,0.0,24.88
24.15,0.0,0.0,0.0,25.42
24.64,0.0,0.0,0.0,25.95
25.12,0.0,0.0,0.0,26.45
25.59,0.0,0.0,0.0,26.94
26.04,0.0,0.0,0.0,27.41
26.45,0.0,0.0,0.0,27.86
26.87,0.0,0.0,0.0,28.29
27.26,0.0,0.0,0.0,28.7
27.62,0.0,0.0,0.0,29.09
27.97,0.0,0.0,0.0,29.45
28.3,0.0,0.0,0.0,29.79
28.62,0.0,0.0,0.0,30.11
28.9,0.0,0.0,0.0,30.41
29.17,0.0,0.0,0.0,30.68
29.42,0.0,0.0,0.0,30.93
29.63,0.0,0.0,0.0,31.16
29.84,0.0,0.0,0.0,31.36
30.02,0.0,0.0,0.0,31.54
30.17,0.0,0.0,0.0,31.7
30.3,0.0,0.0,0.0,31.84
30.42,0.0,0.0,0.0,31.95
30.51,0.0,0.0,0.0,32.04
30.57,0.0,0.0,0.0,32.11
30.62,0.0,0.0,0.0,32.16
30.65,0.0,0.0,0.0,32.2
30.68,0.0,0.0,0.0,32.23
30.69,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
30.7,0.0,0.0,0.0,32.24
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01
0.01,0.0,0.0,0.0,0.03
0.05,0.0,0.0,0.0,0.06
0.09,0.0,0.0,0.0,0.11
0.15,0.0,0.0,0.0,0.18
0.23,0.0,0.0,0.0,0.26
0.33,0.0,0.0,0.0,0.37
0.44,0.0,0.0,0.0,0.5
0.58,0.0,0.0,0.0,0.64
0.75,0.0,0.0,0.0,0.82
0.93,0.0,0.0,0.0,1.01
1.14,0.0,0.0,0.0,1.23
1.37,0.0,0.0,0.0,1.47
1.62,0.0,0.0,0.0,1.74
1.89,0.0,0.0,0.0,2.02
2.2,0.0,0.0,0.0,2.33
2.5,0.0,0.0,0.0,2.66
2.83,0.0,0.0,0.0,3.01
3.19,0.0,0.0,0.0,3.38
3.56,0.0,0.0,0.0,3.78
3.96,0.0,0.0,0.0,4.19
4.36,0.0,0.0,0.0,4.63
4.8,0.0,0.0,0.0,5.09
5.25,0.0,0.0,0.0,5.56
5.71,0.0,0.0,0.0,6.06
6.19,0.0,0.0,0.0,6.57
6.69,0.0,0.0,0.0,7.1
7.19,0.0,0.0,0.0,7.65
7.71,0.0,0.0,0.0,8.21
8.26,0.0,0.0,0.0,8.78
8.81,0.0,0.0,0.0,9.35
9.35,0.0,0.0,0.0,9.95
9.93,0.0,0.0,0.0,10.55
10.48,0.0,0.0,0.0,11.16
11.06,0.0,0.0,0.0,11.78
11.65,0.0,0.0,0.0,12.41
12.25,0.0,0.0,0.0,13.03
12.85,0.0,0.0,0.0,13.66
13.46,0.0,0.0,0.0,14.3
14.05,0.0,0.0,0.0,14.94
14.65,0.0,0.0,0.0,15.59
15.26,0.0,0.0,0.0,16.23
15.85,0.0,0.0,0.0,16.87
16.45,0.0,0.0,0.0,17.52
17.05,0.0,0.0,0.0,18.17
17.65,0.0,0.0,0.0,18.79
18.25,0.0,0.0,0.0,19.44
18.81,0.0,0.0,0.0,20.06
19.38,0.0,0.0,0.0,20.68
19.95,0.0,0.0,0.0,21.28
20.52,0.0,0.0,0.0,21.88
21.06,0.0,0.0,0.0,22.48
21.61,0.0,0.0,0.0,23.07
22.13,0.0,0.0,0.0,23.63
22.65,0.0,0.0,0.0,24.19
23.18,0.0,0.0,0.0,24.74
23.67,0.0,0.0,0.0,25.27
24.15,0.0,0.0,0.0,25.78
24.62,0.0,0.0,0.0,26.28
25.07,0.0,0.0,0.0,26.76
25.52,0.0,0.0,0.0,27.22
25.94,0.0,0.0,0.0,27.66
26.32,0.0,0.0,0.0,28.08
26.7,0.0,0.0,0.0,28.48
27.06,0.0,0.0,0.0,28.86
27.4,0.0,0.0,0.0,29.22
27.72,0.0,0.0,0.0,29.56
28.03,0.0,0.0,0.0,29.87
28.29,0.0,0.0,0.0,30.16
28.55,0.0,0.0,0.0,30.43
28.79,0.0,0.0,0.0,30.68
29.0,0.0,0.0,0.0,30.9
29.2,0.0,0.0,0.0,31.1
29.37,0.0,0.0,0.0,31.28
29.52,0.0,0.0,0.0,31.43
29.64,0.0,0.0,0.0,31.57
29.76,0.0,0.0,0.0,31.68
29.84,0.0,0.0,0.0,31.76
29.89,0.0,0.0,0.0,31.82
29.94,0.0,0.0,0.0,31.86
29.96,0.0,0.0,0.0,31.89
29.98,0.0,0.0,0.0,31.92
30.01,0.0,0.0,0.0,31.93
30.01,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
30.02,0.0,0.0,0.0,31.93
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01
0.01,0.0,0.0,0.0,0.02
0.05,0.0,0.0,0.0,0.05
0.09,0.0,0.0,0.0,0.09
0.14,0.0,0.0,0.0,0.15
0.2,0.0,0.0,0.0,0.22
0.3,0.0,0.0,0.0,0.31
0.4,0.0,0.0,0.0,0.41
0.54,0.0,0.0,0.0,0.55
0.68,0.0,0.0,0.0,0.7
0.87,0.0,0.0,0.0,0.88
1.05,0.0,0.0,0.0,1.08
1.26,0.0,0.0,0.0,1.3
1.5,0.0,0.0,0.0,1.55
1.75,0.0,0.0,0.0,1.81
2.02,0.0,0.0,0.0,2.08
2.31,0.0,0.0,0.0,2.4
2.63,0.0,0.0,0.0,2.73
2.96,0.0,0.0,0.0,3.09
3.31,0.0,0.0,0.0,3.46
3.69,0.0,0.0,0.0,3.86
4.07,0.0,0.0,0.0,4.27
4.48,0.0,0.0,0.0,4.71
4.92,0.0,0.0,0.0,5.16
5.36,0.0,0.0,0.0,5.63
5.82,0.0,0.0,0.0,6.12
6.3,0.0,0.0,0.0,6.63
6.78,0.0,0.0,0.0,7.15
7.3,0.0,0.0,0.0,7.69
7.82,0.0,0.0,0.0,8.24
8.36,0.0,0.0,0.0,8.81
8.9,0.0,0.0,0.0,9.38
9.47,0.0,0.0,0.0,9.97
10.02,0.0,0.0,0.0,10.57
10.6,0.0,0.0,0.0,11.18
11.18,0.0,0.0,0.0,11.79
11.77,0.0,0.0,0.0,12.42
12.38,0.0,0.0,0.0,13.03
12.97,0.0,0.0,0.0,13.67
13.57,0.0,0.0,0.0,14.3
14.17,0.0,0.0,0.0,14.94
14.77,0.0,0.0,0.0,15.56
15.38,0.0,0.0,0.0,16.19
15.97,0.0,0.0,0.0,16.81
16.55,0.0,0.0,0.0,17.43
17.14,0.0,0.0,0.0,18.07
17.73,0.0,0.0,0.0,18.69
18.31,0.0,0.0,0.0,19.31
18.87,0.0,0.0,0.0,19.93
19.43,0.0,0.0,0.0,20.54
19.97,0.0,0.0,0.0,21.14
20.51,0.0,0.0,0.0,21.73
21.04,0.0,0.0,0.0,22.3
21.54,0.0,0.0,0.0,22.86
22.05,0.0,0.0,0.0,23.41
22.54,0.0,0.0,0.0,23.95
23.02,0.0,0.0,0.0,24.46
23.48,0.0,0.0,0.0,24.97
23.95,0.0,0.0,0.0,25.46
24.39,0.0,0.0,0.0,25.93
24.84,0.0,0.0,0.0,26.39
25.27,0.0,0.0,0.0,26.81
25.67,0.0,0.0,0.0,27.23
26.05,0.0,0.0,0.0,27.62
26.43,0.0,0.0,0.0,28.0
26.78,0.0,0.0,0.0,28.36
27.12,0.0,0.0,0.0,28.7
27.43,0.0,0.0,0.0,29.01
27.71,0.0,0.0,0.0,29.3
27.98,0.0,0.0,0.0,29.56
28.22,0.0,0.0,0.0,29.8
28.45,0.0,0.0,0.0,30.02
28.64,0.0,0.0,0.0,30.22
28.81,0.0,0.0,0.0,30.39
28.97,0.0,0.0,0.0,30.54
29.11,0.0,0.0,0.0,30.67
29.21,0.0,0.0,0.0,30.79
29.31,0.0,0.0,0.0,30.88
29.38,0.0,0.0,0.0,30.95
29.45,0.0,0.0,0.0,31.0
29.48,0.0,0.0,0.0,31.04
29.51,0.0,0.0,0.0,31.07
29.53,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
29.54,0.0,0.0,0.0,31.08
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01
0.02,0.0,0.0,0.0,0.03
0.05,0.0,0.0,0.0,0.06
0.1,0.0,0.0,0.0,0.1
0.15,0.0,0.0,0.0,0.15
0.21,0.0,0.0,0.0,0.22
0.3,0.0,0.0,0.0,0.31
0.4,0.0,0.0,0.0,0.41
0.52,0.0,0.0,0.0,0.52
0.67,0.0,0.0,0.0,0.67
0.81,0.0,0.0,0.0,0.82
1.0,0.0,0.0,0.0,1.0
1.21,0.0,0.0,0.0,1.21
1.42,0.0,0.0,0.0,1.43
1.66,0.0,0.0,0.0,1.67
1.92,0.0,0.0,0.0,1.94
2.21,0.0,0.0,0.0,2.23
2.51,0.0,0.0,0.0,2.53
2.83,0.0,0.0,0.0,2.86
3.18,0.0,0.0,0.0,3.21
3.54,0.0,0.0,0.0,3.58
3.93,0.0,0.0,0.0,3.97
4.26,0.0,0.0,0.0,4.38
4.67,0.0,0.0,0.0,4.8
5.11,0.0,0.0,0.0,5.24
5.57,0.0,0.0,0.0,5.7
6.03,0.0,0.0,0.0,6.17
6.51,0.0,0.0,0.0,6.66
7.0,0.0,0.0,0.0,7.17
7.51,0.0,0.0,0.0,7.7
8.02,0.0,0.0,0.0,8.22
8.55,0.0,0.0,0.0,8.78
9.09,0.0,0.0,0.0,9.33
9.64,0.0,0.0,0.0,9.89
10.18,0.0,0.0,0.0,10.47
10.75,0.0,0.0,0.0,11.06
11.31,0.0,0.0,0.0,11.64
11.89,0.0,0.0,0.0,12.24
12.47,0.0,0.0,0.0,12.84
13.05,0.0,0.0,0.0,13.44
13.63,0.0,0.0,0.0,14.04
14.21,0.0,0.0,0.0,14.65
14.78,0.0,0.0,0.0,15.25
15.35,0.0,0.0,0.0,15.86
16.22,0.0,0.0,0.0,16.45
16.79,0.0,0.0,0.0,17.04
17.36,0.0,0.0,0.0,17.64
17.92,0.0,0.0,0.0,18.23
18.47,0.0,0.0,0.0,18.79
19.03,0.0,0.0,0.0,19.37
19.56,0.0,0.0,0.0,19.93
20.1,0.0,0.0,0.0,20.48
20.62,0.0,0.0,0.0,21.02
21.12,0.0,0.0,0.0,21.55
21.62,0.0,0.0,0.0,22.07
22.11,0.0,0.0,0.0,22.57
22.57,0.0,0.0,0.0,23.05
23.04,0.0,0.0,0.0,23.52
23.46,0.0,0.0,0.0,23.98
23.89,0.0,0.0,0.0,24.42
24.29,0.0,0.0,0.0,24.84
24.69,0.0,0.0,0.0,25.24
25.06,0.0,0.0,0.0,25.62
25.42,0.0,0.0,0.0,25.99
25.75,0.0,0.0,0.0,26.33
26.05,0.0,0.0,0.0,26.66
26.36,0.0,0.0,0.0,26.96
26.62,0.0,0.0,0.0,27.24
26.88,0.0,0.0,0.0,27.5
27.12,0.0,0.0,0.0,27.73
27.34,0.0,0.0,0.0,27.95
27.53,0.0,0.0,0.0,28.14
27.7,0.0,0.0,0.0,28.31
27.87,0.0,0.0,0.0,28.45
28.0,0.0,0.0,0.0,28.58
28.12,0.0,0.0,0.0,28.69
28.2,0.0,0.0,0.0,28.78
28.29,0.0,0.0,0.0,28.85
28.35,0.0,0.0,0.0,28.9
28.38,0.0,0.0,0.0,28.94
28.42,0.0,0.0,0.0,28.96
28.44,0.0,0.0,0.0,28.97
28.45,0.0,0.0,0.0,28.98
28.45,0.0,0.0,0.0,28.98
28.46,0.0,0.0,0.0,28.98
28.46,0.0,0.0,0.0,28.98
28.46,0.0,0.0,0.0,28.98
28.47,0.0,0.0,0.0,28.98
28.47,0.0,0.0,0.0,28.98
28.47,0.0,0.0,0.0,28.98
28.47,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
28.48,0.0,0.0,0.0,28.98
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.01
0.02,0.0,0.0,0.0,0.03
0.05,0.0,0.0,0.0,0.06
0.09,0.0,0.0,0.0,0.1
0.12,0.0,0.0,0.0,0.17
0.18,0.0,0.0,0.0,0.25
0.27,0.0,0.0,0.0,0.37
0.38,0.0,0.0,0.0,0.5
0.51,0.0,0.0,0.0,0.64
0.68,0.0,0.0,0.0,0.76
0.81,0.0,0.0,0.0,0.88
0.94,0.0,0.0,0.0,1.01
1.1,0.0,0.0,0.0,1.14
1.25,0.0,0.0,0.0,1.3
1.41,0.0,0.0,0.0,1.47
1.58,0.0,0.0,0.0,1.65
1.75,0.0,0.0,0.0,1.84
1.99,0.0,0.0,0.0,2.09
2.23,0.0,0.0,0.0,2.36
2.5,0.0,0.0,0.0,2.63
2.81,0.0,0.0,0.0,2.92
3.18,0.0,0.0,0.0,3.2
3.5,0.0,0.0,0.0,3.5
3.84,0.0,0.0,0.0,3.82
4.19,0.0,0.0,0.0,4.1
4.53,0.0,0.0,0.0,4.42
4.86,0.0,0.0,0.0,4.73
5.17,0.0,0.0,0.0,5.04
5.48,0.0,0.0,0.0,5.37
5.78,0.0,0.0,0.0,5.73
6.05,0.0,0.0,0.0,6.1
6.34,0.0,0.0,0.0,6.54
6.75,0.0,0.0,0.0,7.06
7.28,0.0,0.0,0.0,7.6
7.82,0.0,0.0,0.0,8.18
8.38,0.0,0.0,0.0,8.68
8.93,0.0,0.0,0.0,9.18
9.52,0.0,0.0,0.0,9.76
10.11,0.0,0.0,0.0,10.26
10.6,0.0,0.0,0.0,10.8
10.93,0.0,0.0,0.0,11.24
11.35,0.0,0.0,0.0,11.84
11.6,0.0,0.0,0.0,12.42
11.98,0.0,0.0,0.0,12.95
12.57,0.0,0.0,0.0,13.52
13.14,0.0,0.0,0.0,14.15
13.63,0.0,0.0,0.0,14.76
14.15,0.0,0.0,0.0,15.38
14.69,0.0,0.0,0.0,15.98
15.19,0.0,0.0,0.0,16.59
15.71,0.0,0.0,0.0,17.18
16.21,0.0,0.0,0.0,17.74
16.68,0.0,0.0,0.0,18.19
17.09,0.0,0.0,0.0,18.58
17.61,0.0,0.0,0.0,18.92
18.11,0.0,0.0,0.0,19.24
18.47,0.0,0.0,0.0,19.51
18.88,0.0,0.0,0.0,19.78
19.22,0.0,0.0,0.0,20.04
19.47,0.0,0.0,0.0,20.26
19.73,0.0,0.0,0.0,20.5
20.04,0.0,0.0,0.0,20.84
20.42,0.0,0.0,0.0,21.24
20.78,0.0,0.0,0.0,21.6
21.04,0.0,0.0,0.0,21.91
21.29,0.0,0.0,0.0,22.21
21.54,0.0,0.0,0.0,22.57
21.77,0.0,0.0,0.0,22.9
21.95,0.0,0.0,0.0,23.13
22.13,0.0,0.0,0.0,23.35
22.29,0.0,0.0,0.0,23.48
22.39,0.0,0.0,0.0,23.57
22.5,0.0,0.0,0.0,23.66
22.61,0.0,0.0,0.0,23.75
22.7,0.0,0.0,0.0,23.84
22.79,0.0,0.0,0.0,23.92
22.87,0.0,0.0,0.0,23.99
22.96,0.0,0.0,0.0,24.05
23.04,0.0,0.0,0.0,24.11
23.07,0.0,0.0,0.0,24.15
23.12,0.0,0.0,0.0,24.18
23.13,0.0,0.0,0.0,24.19
23.14,0.0,0.0,0.0,24.2
23.15,0.0,0.0,0.0,24.2
23.15,0.0,0.0,0.0,24.2
23.17,0.0,0.0,0.0,24.2
23.17,0.0,0.0,0.0,24.2
23.17,0.0,0.0,0.0,24.2
