,Y18
4681,41.0
4682,40.0
4683,40.0
4684,40.0
4685,39.0
4686,38.0
4687,38.0
4688,38.5
4689,38.5
4690,37.0
4691,37.5
4692,36.0
4693,34.5
4694,34.0
4695,34.0
4696,33.5
4697,33.5
4698,33.5
4699,33.0
4700,33.0
4701,33.0
4702,33.0
4703,33.0
4704,32.5
4705,32.5
4706,32.5
4707,32.5
4708,32.5
4709,32.5
4710,32.0
4711,31.5
4712,30.5
4713,29.5
4714,29.0
4715,28.5
4716,28.0
4717,28.0
4718,27.5
4719,27.5
4720,27.0
4721,26.5
4722,26.0
4723,25.5
4724,25.5
4725,25.0
4726,24.5
4727,24.5
4728,24.0
4729,24.0
4730,23.5
4731,23.5
4732,23.0
4733,23.0
4734,23.0
4735,23.0
4736,23.0
4737,23.0
4738,23.0
4739,23.0
4740,23.0
4741,22.5
4742,22.5
4743,22.0
4744,22.0
4745,22.0
4746,22.0
4747,21.5
4748,21.5
4749,21.5
4750,21.5
4751,21.0
